County,State,Less Than High School Diploma,At Least High School Diploma,At Least Bachelors's Degree,Graduate Degree,School Enrollment,Median Earnings 2010,Management.professional.and.related.occupations,Service.occupations,Sales.and.office.occupations,Farming.fishing.and.forestry.occupations,Construction.extraction.maintenance.and.repair.occupations,Production.transportation.and.material.moving.occupations,White (Not Latino) Population,African American Population,Native American Population,Asian American Population,Other Race or Races,Children Under 6 Living in Poverty,Adults 65 and Older Living in Poverty,Total Population,Gini.Coefficient,Teen.births,Adult.smoking,Adult.obesity,Diabetes,Sexually.transmitted.infections,HIV.prevalence.rate,Uninsured,Unemployment,Violent.crime,Homicide.rate,Injury.deaths,Infant.mortality,Preschool.Enrollment.Ratio.enrolled.ages.3.and.4,Poverty.Rate.below.federal.poverty.threshold,target
"Washington County, Wisconsin",Wisconsin,7.8,92.2,26.0,7.7,78.3,"(30000.0, 40000.0]",34.15,13.0,25.9,0.8,8.95,17.2,94.65,0.8,0.25,1.05,1.0,8.25,5.3,129966,0.385,15.1,0.14200000000000002,0.273,0.08800000000000001,102.0,31.8,0.068,0.064,91.18,1.67,58.4,3.5,44.4,5.35,40.49392755029771
"Benton County, Tennessee",Tennessee,23.4,76.6,12.6,5.2,71.6,"(20000.0, 25000.0]",26.4,14.5,20.65,0.7000000000000001,11.95,25.9,94.55,2.15,0.30000000000000004,0.2,1.15,15.75,12.75,16309,0.426,62.1,0.251,0.34,0.139,371.3,60.1,0.18600000000000003,0.102,231.09,,134.9,,37.4,17.85,51.26542233470421
"Roane County, Tennessee",Tennessee,18.7,81.3,16.7,6.3,72.3,"(25000.0, 30000.0]",30.25,17.6,22.7,0.2,14.15,15.0,93.85,2.6,0.35000000000000003,0.55,1.45,21.7,8.45,53683,0.44,47.3,0.157,0.326,0.129,213.6,56.0,0.149,0.076,257.67,6.1,101.9,8.8,35.6,13.7,51.11214087117702
"Adams County, Illinois",Illinois,10.8,89.2,21.1,6.5,78.95,"(25000.0, 30000.0]",30.0,19.0,25.35,0.65,7.65,17.35,93.5,3.3,0.1,0.55,1.45,19.7,7.95,66997,0.45299999999999996,36.7,0.295,0.303,0.09300000000000001,332.0,64.9,0.12,0.062,355.14,2.77,58.2,7.1,60.0,12.5,47.52596789423984
"Calhoun County, West Virginia",West Virginia,28.3,71.7,8.0,2.7,71.55,"(20000.0, 25000.0]",18.65,21.25,19.45,4.05,21.95,14.6,96.0,0.30000000000000004,0.15,0.1,3.05,43.75,6.6,7418,0.48100000000000004,54.9,0.462,0.359,0.146,91.5,,0.223,0.109,,,81.7,,44.6,20.3,60.17665130568356
"Grant County, Arkansas",Arkansas,15.2,84.8,14.7,5.3,71.1,"(25000.0, 30000.0]",26.85,12.95,25.75,1.35,13.3,19.8,93.35,3.1,0.30000000000000004,0.25,1.0,11.95,8.4,17698,0.377,48.1,0.39,0.361,0.11,316.9,72.4,0.166,0.065,199.11,,79.3,,41.2,9.2,54.3283149971048
"Montrose County, Colorado",Colorado,14.6,85.4,22.3,8.2,72.55,"(25000.0, 30000.0]",25.7,17.75,24.9,2.2,17.8,11.7,78.5,0.30000000000000004,0.4,0.55,1.75,23.45,9.7,40289,0.41700000000000004,51.9,0.155,0.201,0.063,182.9,31.8,0.23,0.105,190.8,4.0,94.8,6.3,46.1,11.1,42.07403891789275
"Russell County, Virginia",Virginia,28.6,71.4,10.7,3.0,73.05,"(20000.0, 25000.0]",23.9,16.7,23.65,1.0,17.15,17.55,97.5,1.0,0.1,0.30000000000000004,0.55,24.5,17.15,28909,0.428,43.1,0.249,0.32,0.125,100.9,40.5,0.17,0.08800000000000001,95.37,,99.1,,34.6,17.55,58.94218942189421
"Baxter County, Arkansas",Arkansas,16.3,83.7,14.5,4.7,76.8,"(20000.0, 25000.0]",28.25,18.15,25.75,0.75,10.9,16.15,96.1,0.15,0.5,0.4,1.25,32.45,9.2,41490,0.42,50.3,0.239,0.28500000000000003,0.10800000000000001,257.6,68.7,0.204,0.077,107.1,,99.1,,52.6,15.35,53.17790167257982
"Adams County, Colorado",Colorado,19.0,81.0,20.3,5.8,70.5,"(30000.0, 40000.0]",27.6,16.15,26.95,0.2,14.7,14.35,54.85,2.85,0.55,3.35,2.0,21.5,9.2,430521,0.40299999999999997,55.2,0.21600000000000003,0.25,0.067,448.3,178.8,0.21600000000000003,0.092,411.51,4.79,60.5,6.7,36.5,13.5,-7.231406138472515
